Project,Source Repo,Source Sha,Dist Repo,Dist Sha,Status,Last Success Timestamp,Pkg NVR
puppet-snmp,git://github.com/razorsedge/puppet-snmp,7d4c97c5b6bf8756db8515355d4aac9ffd524569,https://github.com/rdo-packages/puppet-snmp-distgit.git,cbc7fefa609e50cf89cabffb091f66a2cdf57764,SUCCESS,1475520747,puppet-snmp-3.6.0-0.20161003185238.7d4c97c.el7.centos
puppet-ssh,git://github.com/saz/puppet-ssh,8564a4b939b75dc560487acd87ad6f2258b6ff1a,https://github.com/rdo-packages/puppet-ssh-distgit.git,32dff477cbdc9cc6a0202ea90c92d1dfc4ad583d,SUCCESS,1475527318,puppet-ssh-2.9.1-0.20161003204208.8564a4b.el7.centos
puppet-staging,git://github.com/nanliu/puppet-staging,b466d93f8deb0ed4d9762a17c3c38f356aa833ee,https://github.com/rdo-packages/puppet-staging-distgit.git,f19c2dc939e926267a45aa2dd400ee05af938715,SUCCESS,1475518829,puppet-staging-1.0.4-0.20161003182041.b466d93.el7.centos
puppet-timezone,git://github.com/saz/puppet-timezone,cf62f1bb34c2704afac9e2d37244bbf0c6b3ac95,https://github.com/rdo-packages/puppet-timezone-distgit.git,d43761eb7d994e5e2963c951f3ec04361843769c,SUCCESS,1475520802,puppet-timezone-3.3.0-0.20161003185332.cf62f1b.el7.centos
puppet-uchiwa,git://github.com/Yelp/puppet-uchiwa,64ce619c26995bc270aa762e24ca298b9787bc3e,https://github.com/rdo-packages/puppet-uchiwa-distgit.git,666b0e39b3937c4c5e8bd17d88e3751613963747,SUCCESS,1475520972,puppet-uchiwa-1.0.1-0.20161003185621.64ce619.el7.centos
puppet-vlan,git://github.com/derekhiggins/puppet-vlan,c937de75c28e63fba8d8738ad6a5f2ede517e53d,https://github.com/rdo-packages/puppet-vlan-distgit.git,5034ee13fc364fcd559567785611e19db07d7647,SUCCESS,1475527264,puppet-vlan-0.1.0-0.20161003204115.c937de7.el7.centos
puppet-zookeeper,git://github.com/deric/puppet-zookeeper,375fe24008abd119853ebf3d820a3841b4e38dfb,https://github.com/rdo-packages/puppet-zookeeper-distgit.git,d7774d377387d3327ce044e02ed862c54636b01d,SUCCESS,1480930810,puppet-zookeeper-0.7.0-0.20161205094022.375fe24.el7.centos
puppet-kmod,git://github.com/camptocamp/puppet-kmod,0d69a96e8d0d3a08da0d5f476c733134df4fb9ee,https://github.com/rdo-packages/puppet-kmod-distgit.git,66f14b9f55611538f9ec5b6522330301dd872bef,SUCCESS,1475520511,puppet-kmod-2.1.1-0.20161003184842.0d69a96.el7.centos
puppet-sysctl,git://github.com/duritong/puppet-sysctl,65ffe839a4ce785bc3901452488197a0ef158cd8,https://github.com/rdo-packages/puppet-sysctl-distgit.git,17a1501bfd6485cea8d845a43b159ca24c0b62fb,SUCCESS,1475519824,puppet-sysctl-0.0.11-0.20161003183714.65ffe83.el7.centos
openstack-nova,git://git.openstack.org/openstack/nova,7c3ef3fc5b9cda82dfb4713d58c099bb9081f0a2,https://github.com/rdo-packages/nova-distgit.git,c211fbe8a10969ffb3cea96f19dac0b11fc4547c,SUCCESS,1481077923,openstack-nova-15.0.0-0.20161207023330.7c3ef3f.el7.centos
openstack-keystone,git://git.openstack.org/openstack/keystone,c96e16e75a4ccf9b3e484c550998090acb1b3031,https://github.com/rdo-packages/keystone-distgit.git,4b1619fef4e43727d95744c75b81c653de00a01e,SUCCESS,1481053746,openstack-keystone-11.0.0-0.20161206195054.c96e16e.el7.centos
